Unnamed: 0,count,company,tod,used,old_date,date
0,2316,birdla,  9:45:05,0,1/11/2020 9:45,1/11/2020 9:45
0,503,birdsm,  9:45:06,0,1/11/2020 9:45,1/11/2020 9:45
0,5100,lime,  9:45:03,0,1/11/2020 9:45,1/11/2020 9:45
0,113,spin,  9:45:06,0,1/11/2020 9:45,1/11/2020 9:45
0,466,wheels,  9:45:00,0,1/11/2020 9:45,1/11/2020 9:45
1,468,wheels,  9:59:57,2,1/11/2020 9:59,1/11/2020 10:00
1,2316,birdla,  10:00:02,0,1/11/2020 10:00,1/11/2020 10:00
1,504,birdsm,  10:00:02,1,1/11/2020 10:00,1/11/2020 10:00
1,5110,lime,  10:00:00,10,1/11/2020 10:00,1/11/2020 10:00
1,113,spin,  10:00:03,0,1/11/2020 10:00,1/11/2020 10:00
2,471,wheels,  10:15:54,3,1/11/2020 10:15,1/11/2020 10:15
2,2313,birdla,  10:15:59,-3,1/11/2020 10:15,1/11/2020 10:15
2,506,birdsm,  10:15:59,2,1/11/2020 10:15,1/11/2020 10:15
2,5099,lime,  10:15:57,-11,1/11/2020 10:15,1/11/2020 10:15
2,113,spin,  10:15:00,0,1/11/2020 10:15,1/11/2020 10:15
3,475,wheels,  10:29:51,4,1/11/2020 10:29,1/11/2020 10:30
3,2311,birdla,  10:29:56,-2,1/11/2020 10:30,1/11/2020 10:30
3,513,birdsm,  10:29:56,7,1/11/2020 10:30,1/11/2020 10:30
3,5105,lime,  10:29:54,6,1/11/2020 10:30,1/11/2020 10:30
3,113,spin,  10:29:57,0,1/11/2020 10:30,1/11/2020 10:30
4,476,wheels,  10:44:48,1,1/11/2020 10:44,1/11/2020 10:45
4,2322,birdla,  10:44:53,11,1/11/2020 10:45,1/11/2020 10:45
4,512,birdsm,  10:44:53,-1,1/11/2020 10:45,1/11/2020 10:45
4,5097,lime,  10:44:51,-8,1/11/2020 10:45,1/11/2020 10:45
4,113,spin,  10:44:54,0,1/11/2020 10:45,1/11/2020 10:45
5,478,wheels,  10:59:45,2,1/11/2020 10:59,1/11/2020 11:00
5,2329,birdla,  10:59:50,7,1/11/2020 11:00,1/11/2020 11:00
5,513,birdsm,  10:59:50,1,1/11/2020 11:00,1/11/2020 11:00
5,5116,lime,  10:59:48,19,1/11/2020 11:00,1/11/2020 11:00
5,113,spin,  10:59:51,0,1/11/2020 11:00,1/11/2020 11:00
6,477,wheels,  11:15:42,-1,1/11/2020 11:15,1/11/2020 11:15
6,2335,birdla,  11:15:47,6,1/11/2020 11:15,1/11/2020 11:15
6,512,birdsm,  11:15:47,-1,1/11/2020 11:15,1/11/2020 11:15
6,5139,lime,  11:15:45,23,1/11/2020 11:15,1/11/2020 11:15
6,113,spin,  11:15:48,0,1/11/2020 11:15,1/11/2020 11:15
7,475,wheels,  11:29:39,-2,1/11/2020 11:29,1/11/2020 11:30
7,2344,birdla,  11:29:44,9,1/11/2020 11:30,1/11/2020 11:30
7,512,birdsm,  11:29:44,0,1/11/2020 11:30,1/11/2020 11:30
7,5161,lime,  11:29:41,22,1/11/2020 11:30,1/11/2020 11:30
7,113,spin,  11:29:44,0,1/11/2020 11:30,1/11/2020 11:30
8,472,wheels,  11:44:36,-3,1/11/2020 11:44,1/11/2020 11:45
8,2328,birdla,  11:44:42,-16,1/11/2020 11:45,1/11/2020 11:45
8,512,birdsm,  11:44:42,0,1/11/2020 11:45,1/11/2020 11:45
8,5174,lime,  11:44:39,13,1/11/2020 11:45,1/11/2020 11:45
8,113,spin,  11:44:42,0,1/11/2020 11:45,1/11/2020 11:45
9,462,wheels,  11:59:33,-10,1/11/2020 11:59,1/11/2020 12:00
9,2320,birdla,  11:59:38,-8,1/11/2020 12:00,1/11/2020 12:00
9,512,birdsm,  11:59:39,0,1/11/2020 12:00,1/11/2020 12:00
9,5178,lime,  11:59:36,4,1/11/2020 12:00,1/11/2020 12:00
9,113,spin,  11:59:39,0,1/11/2020 12:00,1/11/2020 12:00
10,461,wheels,  12:15:30,-1,1/11/2020 12:15,1/11/2020 12:15
10,2313,birdla,  12:15:35,-7,1/11/2020 12:15,1/11/2020 12:15
10,511,birdsm,  12:15:36,-1,1/11/2020 12:15,1/11/2020 12:15
10,5183,lime,  12:15:33,5,1/11/2020 12:15,1/11/2020 12:15
10,113,spin,  12:15:36,0,1/11/2020 12:15,1/11/2020 12:15
11,466,wheels,  12:29:27,5,1/11/2020 12:29,1/11/2020 12:30
11,2318,birdla,  12:29:32,5,1/11/2020 12:30,1/11/2020 12:30
11,514,birdsm,  12:29:32,3,1/11/2020 12:30,1/11/2020 12:30
11,5197,lime,  12:29:30,14,1/11/2020 12:30,1/11/2020 12:30
11,128,spin,  12:29:33,15,1/11/2020 12:30,1/11/2020 12:30
12,470,wheels,  12:44:23,4,1/11/2020 12:44,1/11/2020 12:45
12,2315,birdla,  12:44:29,-3,1/11/2020 12:45,1/11/2020 12:45
12,513,birdsm,  12:44:29,-1,1/11/2020 12:45,1/11/2020 12:45
12,5216,lime,  12:44:26,19,1/11/2020 12:45,1/11/2020 12:45
12,143,spin,  12:44:30,15,1/11/2020 12:45,1/11/2020 12:45
13,475,wheels,  12:59:21,5,1/11/2020 12:59,1/11/2020 13:00
13,2316,birdla,  12:59:26,1,1/11/2020 13:00,1/11/2020 13:00
13,519,birdsm,  12:59:26,6,1/11/2020 13:00,1/11/2020 13:00
13,5217,lime,  12:59:23,1,1/11/2020 13:00,1/11/2020 13:00
13,153,spin,  12:59:26,10,1/11/2020 13:00,1/11/2020 13:00
14,474,wheels,  1:15:17,-1,1/11/2020 13:15,1/11/2020 13:15
14,2301,birdla,  1:15:22,-15,1/11/2020 13:15,1/11/2020 13:15
14,520,birdsm,  1:15:23,1,1/11/2020 13:15,1/11/2020 13:15
14,5228,lime,  1:15:20,11,1/11/2020 13:15,1/11/2020 13:15
14,165,spin,  1:15:23,12,1/11/2020 13:15,1/11/2020 13:15
15,487,wheels,  1:29:15,13,1/11/2020 13:29,1/11/2020 13:30
15,2294,birdla,  1:29:19,-7,1/11/2020 13:30,1/11/2020 13:30
15,523,birdsm,  1:29:20,3,1/11/2020 13:30,1/11/2020 13:30
15,5225,lime,  1:29:17,-3,1/11/2020 13:30,1/11/2020 13:30
15,165,spin,  1:29:20,0,1/11/2020 13:30,1/11/2020 13:30
16,499,wheels,  1:44:11,12,1/11/2020 13:44,1/11/2020 13:45
16,2299,birdla,  1:44:16,5,1/11/2020 13:45,1/11/2020 13:45
16,526,birdsm,  1:44:17,3,1/11/2020 13:45,1/11/2020 13:45
16,5247,lime,  1:44:15,22,1/11/2020 13:45,1/11/2020 13:45
16,180,spin,  1:44:17,15,1/11/2020 13:45,1/11/2020 13:45
17,506,wheels,  1:59:08,7,1/11/2020 13:59,1/11/2020 14:00
17,2307,birdla,  1:59:13,8,1/11/2020 14:00,1/11/2020 14:00
